Street Address,Postal Code,Municipality,Date,Hearing Type,Rental,Units,Below Market Units,Replaced Units,Consistent w/ OCP,Decision,Support,Against,Notes
291 King George Terrace,V8S 2J8,Oak Bay,"July 29, 2024",,No,3,,1,Yes,Yes,"Murdoch,Appleton,Braithwaite,Green,Paterson,Watson",,Cllr Smart recused themselves from the meeting due to a previously perceived conflict of interest related to past employment 
1042/1044 Richardson Street,V8V 3C5,Victoria,"May 9, 2024",,Yes,20,2,5,No,Yes,"Alto,Caradonna,Dell,Kim,Loughton,Thompson","Coleman,Gardiner,Hammond",
900 Carlton and 900 Esquimalt,V9A 3M6,Esquimalt,"April 8, 2024",,Yes,272,,17,Yes,Yes,"Morrison,Armour,Rotchford,Helliwell,Desjardins","Boardman,Cavens","176 condo, 96 rental, 1M contribution to affordability"
958 Wollaston Street,V9A 5B2,Esquimalt,"February 26, 2024",,No,4,0,1,Yes,Yes,"Desjardins,Cavens,Armour,Boardman,Helliwell,Morrison,Rotchford",,no PH required
899 Esquimalt Rd,V9A 3M5,Esquimalt,"February 26, 2024",,No,16,,,No,No,"Desjardins,Armour,Helliwell","Cavens,Morrison,Rotchford",this was in addition to the previously approved 10 story condo building in 2020
937 View Street,V8V 3L5,Victoria,"February 22, 2024",,Yes,265,0,0,Yes,Yes,"Alto,Caradonna,Coleman,Dell,Kim,Loughton,Thompson","Gardiner,Hammond",
2249 McCoy Road,V8N 3X2,Saanich,"February 13, 2024",,Yes,119,119,12,No,Yes,"Murdock,Brice,Brownoff,Chambers,de Vries,Harper,Phelps Bondaroff,Plant,Westhaver",,CRHC
"251 Esquimalt Road, 355 Catherine Street and 210 Kimta Road",V9A 3S9,Victoria,"January 25, 2024",,,1900,215,0,No,Yes,"Alto,Caradonna,Thompson,Dell,Loughton,Kim,Coleman","Gardiner,Hammond",Roundhouse Development
624/628 Manchester Rd,V8T 2P1,Victoria,"December 14, 2023",,No,11,0,2,Yes,Yes,"Alto,Dell,Caradonna,Thompson,Coleman,Kim,Loughton,Hammond,Gardiner",,
1326 Pandora Avenue,V8V 3R5,Victoria,"December 14, 2023",,No,4,0,0,,Yes,"Alto,Caradonna,Coleman,Dell,Gardiner,Hammond,Kim,Loughton,Thompson",,
